locus_tag,gene,mRNA_level
b0837,yliI,696.47
b0838,yliJ,1367.75
b0839,dacC,1209.61
b0840,deoR,510.244
b0841,ybjG,1116.44
b0842,cmr,855.219
b0843,ybjH,252.632
b0844,ybjI,343.62
b0845,ybjJ,550.661
b0846,ybjK,212.986
b0847,ybjL,1039.9
b0848,ybjM,675.69
b0849,grxA,568.887
b0850,ybjC,1274.8
b0851,nfsA,1510.57
b0852,rimK,481.651
b0853,ybjN,742.156
b0854,potF,1704.86
b0855,potG,592.089
b0856,potH,817.606
b0857,potI,924.879
b0858,ybjO,463.15
b0859,ybjF,358.586
b0860,artJ,2731.51
b0861,artM,774.428
b0862,artQ,917.294
b0863,artI,2373.21
b0864,artP,1740
b0865,ybjP,1346.95
b0866,ybjQ,890.183
b0867,ybjR,488.698
b0868,ybjS,466.961
b0869,ybjT,1067.04
b0870,ltaE,1196.5
b0871,poxB,1465.35
b0872,hcr,114.596
b0873,hcp,121.785
b0874,ybjE,579.841
b0875,aqpZ,397.598
b0876,ybjD,564.544
b0877,ybjX,1606.32
b0878,macA,645.492
b0879,macB,1427.58
b0880,cspD,1955.08
b0881,yljA,3804.48
b0882,clpA,2845.83
b0884,infA,4330.66
b0885,aat,445.9
b0886,cydC,686.339
b0887,cydD,610.821
b0888,trxB,1355.98
b0889,lrp,3082.29
b0890,ftsK,1408.87
b0891,lolA,1587.36
b0892,ycaJ,680.941
b0893,serS,1339.67
b0894,dmsA,102.777
b0895,dmsB,101.118
b0896,dmsC,1180.83
b0897,ycaC,1398.73
b0898,ycaD,776.357
b0899,ycaM,76.9265
b0900,ycaN,127.082
b0901,ycaK,257.447
b0902,pflA,948.34
b0903,pflB,2450.74
b0904,focA,1882.14
b0905,ycaO,748.666
b0906,ycaP,563.73
b0907,serC,3374.74
b0908,aroA,3281.09
b0909,ycaL,305.937
b0910,cmk,3360.86
b0911,rpsA,6527.57
b0912,himD,3660.37
b0913,ycaI,79.2083
b0914,msbA,855.079
b0915,lpxK,730.962
b0916,ycaQ,161.979
b0917,ycaR,2214.2
b0918,kdsB,1539.58
b0919,ycbJ,597.129
b0920,ycbC,721.862
b0921,smtA,1886.62
b0922,mukF,1319.57
b0923,mukE,2336.12
b0924,mukB,1038.2
b0925,ycbB,1072.31
b0926,ycbK,2847.72
b0927,ycbL,1464.63
b0928,aspC,4309.93
b0929,ompF,8545.57
b0930,asnS,1338.38
b0931,pncB,1531.88
b0932,pepN,1159.04
b0933,ssuB,375.007
b0934,ssuC,N.D.
b0935,ssuD,780.049
b0936,ssuA,420.894
b0937,ssuE,241.065
b0938,ycbQ,146.236
b0939,ycbR,1361.31
b0940,ycbS,139.612
b0941,ycbT,160.614
b0942,ycbU,511.786
b0943,ycbV,268.343
b0944,ycbF,240.395
b0945,pyrD,1612.2
b0946,ycbW,764.091
b0947,ycbX,685.111
b0948,ycbY,793.666
b0949,uup,754.717
b0950,pqiA,443.466
b0951,pqiB,622.926
b0952,ymbA,554.372
b0953,rmf,5587.92
b0954,fabA,1774.17
b0955,ycbZ,1023.59
b0956,ycbG,1095.01
b0957,ompA,8694.7
b0958,sulA,730.459
b0959,yccR,478.721
b0960,yccS,691.027
b0961,yccF,915.957
b0962,helD,996.818
b0963,mgsA,1547.4
b0964,yccT,406.122
b0965,yccU,1002.68
b0966,yccV,1415.66
b0967,yccW,1528.75
b0968,yccX,618.786
b0969,yccK,457.01
b0970,yccA,2705.66
b0972,hyaA,129.251
b0973,hyaB,564.831
b0974,hyaC,261.371
b0975,hyaD,42.8098
b0976,hyaE,378.263
b0977,hyaF,7.82171
b0978,appC,643.98
b0979,appB,60.1346
b0980,appA,154.474
b0981,yccC,208.638
b0982,yccY,443.718
b0983,yccZ,180.331
b0984,ymcA,N.D.
b0985,ymcB,62.4914
b0986,ymcC,168.272
b0987,ymcD,489.106
b0988,insB_4,N.D.
b0989,cspH,382.37
b0990,cspG,585.887
b0991,sfa,230.867
b0992,yccM,41.4578
b0993,torS,235.749
b0994,torT,266.422
b0995,torR,312.555
b0996,torC,521.703
b0997,torA,762.561
b0998,torD,129.488
b0999,yccD,873.908
b1000,cbpA,1786.03
b1001,yccE,62.2624
b1002,agp,639.418
b1003,yccJ,1579.5
b1004,wrbA,2965.43
b1005,ycdF,728.219
b1006,ycdG,144.616
b1007,ycdH,430.285
b1008,ycdI,264.551
b1009,ycdJ,150.979
b1010,ycdK,736.406
b1011,ycdL,99.4951
b1012,ycdM,226.406
b1013,ycdC,284.307
b1014,putA,277.527
b1015,putP,1728.72
b4490,ycdN,N.D.
b1018,ycdO,1212.96
b1019,ycdB,611.368
b1020,phoH,666.93
b1021,ycdP,132.192
b1022,ycdQ,107.4
b1023,ycdR,110.513
b1024,ycdS,144.856
b1025,ycdT,393.619
b1026,tra5_3,480.188
b1029,ycdU,95.6422
b1033,ycdW,2053.5
b1034,ycdX,1351.94
b1035,ycdY,1153.89
b1036,ycdZ,849.431
b1037,csgG,399.149
b1038,csgF,676.609
b1039,csgE,433.348
b1040,csgD,825.419
b1041,csgB,224.25
b1042,csgA,313.201
b1043,csgC,19.5411
b1044,ymdA,278.969
b1045,ymdB,743.724
b1046,ymdC,177.339
b1047,mdoC,244.436
b1048,mdoG,2307.72
b1049,mdoH,926.807
b1050,yceK,751.12
b1051,msyB,4520.99
b1053,yceE,184.904
b1054,htrB,782.502
b1055,yceA,2024.41
b1056,yceI,1081.32
b1057,yceJ,375.087
b1058,yceO,38.3624
b1059,solA,748.421
b1060,yceP,434.035
b1061,dinI,1303.91
b1062,pyrC,3121.9
b1063,yceB,807.409
b1064,grxB,2068.85
b1065,yceL,1092.71
b1066,rimJ,1841.94
b1067,yceH,3376.62
b1068,mviM,772.056
b1069,mviN,463.279
b1070,flgN,485.193
b1071,flgM,294.726
b1072,flgA,385.962
b1073,flgB,418.326
b1074,flgC,627.357
b1075,flgD,412.835
b1076,flgE,230.769
b1077,flgF,201.66
